Keyword,Tweet Text
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@Greenwheels @masterprogram1 S.v.p. meer elektrische deelauto's. Niet alleen in de grote steden!
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@StefanPaas @CorStapel Openbaar vervoer is geen oplossing gebleken, na decennialang proberen.

Ik verwacht het van innovatie, of beter gezegd: transformatie. Zelf rijdend elektrisch deelvervoer. Tesla is een heel eind, zij kunnen voor de doorbraak zorgen. Elke rit bestel je via een app."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@roelof_bonte @GerlantZ Deelauto's worden niet gesubsidieerd, grootste deel deelauto's geplaatst door bedrijven @my_wheels @Greenwheels plus particulier aanbod via platform @SnappCar  Hooguit soms bijdrage door provincie/gemeente om bij opstart kleine gemeenten, landelijk gebied, burgerinitiatieven."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@Greenwheels 50+er met gezin en nooit een auto aangeschaft. Fiets en OV volstaan meestal, meerdere deelauto's op loopafstand voor af en toe (plus soms een huurauto tijdens vakantie)"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Tja ..

Gemeenten zetten in op deelauto's tegen parkeerdruk, 'maar soms nog best veel gedoe' - https://t.co/QgKEWZpcqQ"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@omroepwest Ja, prima. Die huizen staan vlakbij het centrum en NAAST een treinstation.
Ik woon in Valkenbos en heb ook geen auto nodig voor mijn dagelijkse dingen. En als ik er wel een nodig heb, gebruik ik een deelauto.
Scheelt een hoop geld hoor, geen eigen auto."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@GerlantZ En die deelauto gaat nooit geen succes worden, net zo min als openbaar vervoer dat zou kunnen worden zonder subsidie...
Want, alle duurzaamheidsgeleuter ten spijt, is dat de voornaamste brandstof waar het op draait."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Het is alsof de duivel ermee speelt. Ik voor de komende week een verhaal over toekomstig ov en deelauto in Salland op papier zetten, komt hij vandaag met zo'n ding aanzetten.

Goed verhaal, ja hij heeft gelijk. De 2e, 3e en 4e 'eigen' auto gaan eruit.

https://t.co/nU3r5NFdfG"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Deelauto voor Raalte moet nieuwe beweging aanjagen: ‘Auto die stilstaat, kost ook minstens 500 euro per maand’ https://t.co/FMun8SpmPm"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Deelauto voor Raalte moet nieuwe beweging aanjagen: ‘Auto die stilstaat, kost ook minstens 500 euro per maand’ https://t.co/GfRoCHtp5P"
